location,customer_type,preferred_language,make,model,year_of_purchase,age_of_vehicle,fuel_type,transmission,odometer_reading,warranty_status,insurance_status,last_service_type,service_center,number_of_services,last_service_kms,avg_kms_per_month,next_service_due_kms,next_service_due_days,AMC_status,pending_service,response,follow_up_required,telecaller_name,service_booked,call_duration_sec,remark,eligible_offer_code,offer_description,offer_valid_till,sent_sms,sms_delivered,sms_clicked,sent_Whats,Whats_delivered,Whats_clicked,sent_email,clicked_email,email_opened,last_service_cost,feedback_score,pickup_drop_required,customer_feedback,days_since_last_service,days_until_next_service,days_since_follow_up,days_since_feedback,days_since_last_call,alert_due
OMR,Fleet,Hindi,Maruti,Dzire,2015,10,Diesel,Manual,50685,Expired,Expired,Major,OMR,1,48175,419,58175,35,No,Yes,Positive,No,Kayla,Yes,266,Booked,OFF560,Free Wash,15-08-2025,No,No,No,No,No,No,No,No,No,9010,2,No,Delayed Pickup,175,-54,0.0,86,-6,True
Anna Nagar,Fleet,Hindi,Toyota,Etios,2022,3,Petrol,Automatic,56729,Active,Expired,Major,Anna Nagar,2,52265,1533,62265,180,Yes,Yes,No Response,Yes,Kathleen,No,175,Call back later,OFF954,Free Wash,08-08-2025,No,No,No,No,No,No,Yes,No,Yes,9054,4,No,Delayed Pickup,192,-12,41.0,190,43,True
Anna Nagar,Retail,Tamil,Maruti,Swift,2022,3,Petrol,Manual,47095,Active,Active,Minor,Anna Nagar,5,46075,1273,56075,180,No,No,Positive,Yes,Allison,Yes,100,Not interested,OFF999,15% OFF AMC,08-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12793,5,No,Unresponsive,248,-68,18.0,244,-98,True
OMR,Fleet,English,Ford,Figo,2017,8,Petrol,Manual,33078,Expired,Expired,Minor,OMR,3,30526,341,40526,180,Yes,No,Busy,No,Daniel,No,263,Call back later,OFF478,15% OFF AMC,29-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,14289,2,No,Average,316,-136,0.0,313,17,True
Velachery,Retail,Tamil,Honda,Amaze,2022,3,Diesel,Manual,109659,Active,Expired,Minor,Velachery,10,108017,2964,118017,180,Yes,Yes,Positive,No,Brent,Yes,297,Already serviced,OFF982,Free Wash,19-07-2025,No,No,No,No,No,No,No,No,No,6396,5,No,Delayed Pickup,56,-142,0.0,-66,-6,True
T Nagar,Retail,English,Maruti,Swift,2018,7,Petrol,Manual,45073,Expired,Expired,Major,T Nagar,2,42646,530,52646,2,No,No,Denied,No,Karen,No,292,Already serviced,OFF297,15% OFF AMC,01-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5908,4,No,Satisfied,82,-21,0.0,51,42,True
T Nagar,Retail,English,Ford,Figo,2016,9,Electric,Manual,79685,Expired,Expired,Minor,T Nagar,9,75995,731,85995,445,Yes,Yes,Denied,Yes,Patrick,No,213,Already serviced,OFF819,Engine Oil Discount,04-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6724,4,No,Unresponsive,272,-208,33.0,535,40,True
OMR,Fleet,Tamil,Maruti,Dzire,2021,4,Electric,Automatic,106198,Expired,Expired,Minor,OMR,10,102017,2167,112017,180,No,Yes,No Response,Yes,Susan,No,233,Not interested,OFF106,Free Wash,29-07-2025,No,No,No,No,No,No,Yes,No,Yes,9910,3,No,Poor Service,128,52,25.0,124,206,False
Anna Nagar,Retail,Tamil,Hyundai,Creta,2015,10,Electric,Manual,67941,Expired,Active,Minor,Anna Nagar,5,65123,562,75123,180,Yes,Yes,Positive,No,Rebecca,Yes,133,Call back later,OFF483,Free Wash,15-08-2025,Yes,No,No,Yes,No,No,Yes,No,No,3364,3,Yes,Delayed Pickup,263,65,0.0,259,43,False
T Nagar,Retail,English,Honda,City,2018,7,Electric,Automatic,107501,Expired,Active,Minor,T Nagar,7,106080,1265,116080,180,Yes,Yes,Denied,Yes,Colton,No,233,Booked,OFF206,15% OFF AMC,03-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3529,2,Yes,Average,64,116,-128.0,62,-98,False
OMR,Corporate,Hindi,Hyundai,i20,2016,9,Petrol,Automatic,98723,Expired,Active,Major,OMR,5,94933,906,104933,180,Yes,No,No Response,Yes,Jessica,No,195,Call back later,OFF129,10% OFF Labour,06-08-2025,No,No,No,No,No,No,No,No,No,6135,4,Yes,Poor Service,45,120,12.0,42,19,False
OMR,Retail,Hindi,Ford,Aspire,2021,4,Petrol,Manual,112543,Expired,Expired,Major,OMR,5,109848,2297,119848,121,Yes,No,Busy,No,Kyle,No,261,Not interested,OFF321,15% OFF AMC,29-07-2025,Yes,No,No,Yes,No,No,Yes,No,No,14213,4,No,Average,324,63,0.0,263,33,False
Anna Nagar,Retail,Hindi,Honda,City,2021,4,Diesel,Manual,31936,Expired,Expired,Minor,Anna Nagar,4,30900,652,40900,180,Yes,No,Busy,No,William,No,75,Call back later,OFF261,Engine Oil Discount,10-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11993,5,Yes,Satisfied,197,-17,0.0,193,-98,True
Velachery,Fleet,English,Ford,Figo,2022,3,Electric,Manual,34931,Active,Expired,Major,Velachery,6,33345,944,43345,180,Yes,Yes,Busy,Yes,Jack,No,228,Booked,OFF104,15% OFF AMC,05-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,14517,5,No,Satisfied,151,29,175.0,59,34,False
OMR,Retail,Tamil,Hyundai,Creta,2019,6,Petrol,Automatic,22234,Expired,Expired,Major,OMR,6,18513,305,28513,180,Yes,Yes,Denied,No,Megan,No,149,Already serviced,OFF771,10% OFF Labour,23-07-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,7979,4,No,Smooth Process,259,-79,0.0,256,175,True
Velachery,Corporate,Tamil,Hyundai,i10,2020,5,Diesel,Automatic,19351,Expired,Active,Minor,Velachery,4,17067,317,27067,180,No,No,No Response,No,Amber,No,168,Already serviced,OFF899,15% OFF AMC,21-07-2025,No,No,No,No,No,No,No,No,No,5701,3,No,Unresponsive,141,39,0.0,139,86,False
OMR,Corporate,Tamil,Toyota,Etios,2016,9,Electric,Manual,80432,Expired,Active,Minor,OMR,8,77323,738,87323,209,Yes,Yes,Busy,No,Jordan,No,196,Already serviced,OFF303,15% OFF AMC,24-07-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,6177,1,No,Smooth Process,89,91,0.0,-34,14,False
T Nagar,Retail,Hindi,Honda,Jazz,2016,9,Petrol,Manual,67807,Expired,Expired,Major,T Nagar,7,63979,622,73979,180,Yes,No,Denied,Yes,Martin,No,100,Call back later,OFF674,15% OFF AMC,25-07-2025,No,No,No,No,No,No,No,No,No,13066,5,No,Delayed Pickup,228,-48,11.0,227,17,True
Velachery,Retail,English,Ford,Aspire,2019,6,Electric,Manual,12779,Expired,Active,Minor,Velachery,2,9684,175,19684,387,No,Yes,Positive,Yes,Mary,Yes,146,Already serviced,OFF494,Free Wash,07-08-2025,No,No,No,No,No,No,No,No,No,4794,2,No,Satisfied,302,-209,35.0,505,36,True
T Nagar,Fleet,Tamil,Toyota,Innova,2017,8,Electric,Automatic,32185,Expired,Active,Major,T Nagar,9,28557,332,38557,151,Yes,Yes,Positive,Yes,Brittany,Yes,33,Already serviced,OFF240,Free Wash,06-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,5931,5,No,Poor Service,325,33,206.0,234,38,False
OMR,Fleet,Hindi,Ford,Aspire,2015,10,Electric,Manual,96765,Expired,Active,Minor,OMR,2,94058,800,104058,180,No,No,Positive,No,Jonathan,Yes,272,Call back later,OFF310,10% OFF Labour,06-08-2025,No,No,No,No,No,No,No,No,No,4463,4,Yes,Average,192,-12,0.0,190,38,True
OMR,Fleet,Hindi,Ford,EcoSport,2016,9,Diesel,Automatic,70012,Expired,Active,Major,OMR,3,67730,642,77730,180,Yes,Yes,No Response,Yes,Carrie,No,221,Call back later,OFF623,Engine Oil Discount,17-08-2025,No,No,No,No,No,No,Yes,No,Yes,13444,4,No,Smooth Process,367,-187,33.0,540,35,True
Velachery,Retail,Hindi,Ford,Figo,2017,8,Petrol,Manual,81265,Expired,Expired,Major,Velachery,5,77458,838,87458,180,No,Yes,No Response,Yes,Shannon,No,100,Not interested,OFF481,Engine Oil Discount,19-07-2025,No,No,No,No,No,No,No,No,No,7369,3,Yes,Delayed Pickup,215,-35,16.0,213,17,True
OMR,Corporate,English,Honda,Jazz,2016,9,Petrol,Automatic,58033,Expired,Active,Major,OMR,3,53614,532,63614,475,No,No,Denied,Yes,Erin,No,146,Already serviced,OFF215,15% OFF AMC,10-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,12688,3,Yes,Satisfied,273,-93,33.0,566,38,True
Anna Nagar,Fleet,Tamil,Honda,Amaze,2022,3,Electric,Manual,54543,Active,Active,Major,Anna Nagar,7,52637,1474,62637,180,Yes,Yes,Positive,No,Eric,Yes,96,Booked,OFF839,10% OFF Labour,14-08-2025,No,No,No,No,No,No,Yes,Yes,Yes,14225,3,Yes,Delayed Pickup,139,100,0.0,135,-6,False
T Nagar,Retail,English,Hyundai,i10,2019,6,Diesel,Automatic,60079,Expired,Active,Major,T Nagar,10,58197,823,68197,180,No,Yes,Denied,Yes,Alexander,No,104,Booked,OFF397,15% OFF AMC,29-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,8901,5,Yes,Smooth Process,223,-43,-6.0,222,116,True
Velachery,Retail,Hindi,Maruti,Baleno,2017,8,Electric,Manual,83499,Expired,Active,Minor,Velachery,4,80289,861,90289,358,Yes,No,Busy,Yes,Scott,No,210,Not interested,OFF615,Engine Oil Discount,08-08-2025,No,No,No,No,No,No,Yes,No,Yes,14624,1,No,Delayed Pickup,332,-179,206.0,271,34,True
OMR,Corporate,Tamil,Maruti,Baleno,2019,6,Electric,Automatic,34688,Expired,Active,Minor,OMR,10,32033,475,42033,-84,No,Yes,Positive,No,Brittany,Yes,181,Not interested,OFF528,Engine Oil Discount,30-07-2025,No,No,No,No,No,No,Yes,No,Yes,5830,4,No,Smooth Process,203,37,0.0,83,15,False
Velachery,Fleet,English,Ford,EcoSport,2015,10,Electric,Manual,25432,Expired,Expired,Major,Velachery,5,23228,210,33228,180,No,Yes,Busy,Yes,Melissa,No,245,Booked,OFF412,15% OFF AMC,24-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10136,4,Yes,Satisfied,56,-142,10.0,-66,17,True
OMR,Corporate,English,Toyota,Yaris,2020,5,Electric,Automatic,89452,Expired,Active,Minor,OMR,4,88302,1466,98302,180,Yes,Yes,No Response,Yes,Charles,No,140,Not interested,OFF384,Free Wash,15-08-2025,No,No,No,No,No,No,Yes,No,No,6476,2,Yes,Unresponsive,318,-138,116.0,316,175,True
Anna Nagar,Corporate,English,Hyundai,Creta,2021,4,Petrol,Automatic,15720,Expired,Expired,Major,Anna Nagar,7,12002,321,22002,180,Yes,No,Positive,Yes,Kimberly,Yes,199,Booked,OFF995,Engine Oil Discount,12-08-2025,Yes,No,No,Yes,No,No,No,No,No,5386,3,No,Average,195,-15,17.0,191,-67,True
T Nagar,Corporate,Hindi,Toyota,Innova,2019,6,Electric,Automatic,37434,Expired,Active,Minor,T Nagar,4,36060,513,46060,180,Yes,Yes,Busy,No,Kristin,No,30,Not interested,OFF179,10% OFF Labour,14-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,9639,3,No,Unresponsive,133,47,0.0,132,-128,False
T Nagar,Corporate,Tamil,Ford,Aspire,2017,8,Electric,Manual,74178,Expired,Expired,Minor,T Nagar,6,69730,765,79730,93,No,Yes,No Response,Yes,Tanya,No,99,Call back later,OFF934,Engine Oil Discount,08-08-2025,No,No,No,No,No,No,No,No,No,3034,3,No,Average,209,-147,19.0,150,-37,True
Velachery,Fleet,English,Ford,EcoSport,2015,10,Electric,Manual,25432,Expired,Expired,Major,Velachery,5,23228,210,33228,180,No,Yes,Busy,Yes,Melissa,No,245,Booked,OFF412,15% OFF AMC,24-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5341,3,Yes,Delayed Pickup,56,-142,10.0,26,17,True
Anna Nagar,Fleet,Tamil,Maruti,Swift,2017,8,Diesel,Manual,94153,Expired,Active,Minor,Anna Nagar,6,92604,971,102604,415,No,No,Positive,No,Brandon,Yes,177,Booked,OFF334,15% OFF AMC,11-08-2025,No,No,No,No,No,No,Yes,No,No,5517,4,Yes,Poor Service,303,-123,0.0,534,34,True
T Nagar,Corporate,Tamil,Toyota,Innova,2016,9,Diesel,Manual,85743,Expired,Active,Major,T Nagar,8,83229,787,93229,180,No,Yes,No Response,No,Eric,No,103,Booked,OFF197,Free Wash,10-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,4226,2,No,Satisfied,140,69,0.0,138,40,False
OMR,Retail,English,Maruti,Swift,2020,5,Petrol,Automatic,11854,Expired,Active,Major,OMR,1,8588,194,18588,180,No,Yes,Denied,Yes,William,No,36,Not interested,OFF580,Engine Oil Discount,25-07-2025,No,No,No,No,No,No,No,No,No,3785,1,No,Smooth Process,305,-125,7.0,478,14,True
Velachery,Corporate,Tamil,Honda,Jazz,2021,4,Petrol,Automatic,110366,Expired,Active,Major,Velachery,7,106741,2252,116741,62,No,Yes,Positive,Yes,Cheryl,Yes,96,Call back later,OFF994,10% OFF Labour,01-08-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,13606,5,Yes,Average,52,-20,-67.0,-70,-37,True
Anna Nagar,Corporate,English,Hyundai,Creta,2015,10,Electric,Automatic,10560,Expired,Active,Minor,Anna Nagar,9,5893,87,15893,180,No,No,Positive,Yes,Natasha,Yes,45,Already serviced,OFF788,10% OFF Labour,12-08-2025,No,No,No,No,No,No,No,No,No,5171,4,No,Delayed Pickup,109,101,38.0,107,43,False
Velachery,Fleet,Hindi,Hyundai,i10,2019,6,Petrol,Manual,96463,Expired,Active,Minor,Velachery,6,93481,1321,103481,180,Yes,Yes,No Response,Yes,Matthew,No,45,Booked,OFF630,Free Wash,03-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11268,3,No,Satisfied,163,17,41.0,159,43,False
Anna Nagar,Retail,English,Hyundai,Creta,2021,4,Diesel,Automatic,91690,Expired,Active,Major,Anna Nagar,9,87331,1871,97331,180,No,No,No Response,Yes,William,No,247,Booked,OFF691,Engine Oil Discount,02-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,5531,2,Yes,Unresponsive,126,54,86.0,124,147,False
T Nagar,Fleet,Hindi,Maruti,Baleno,2018,7,Petrol,Automatic,14282,Expired,Active,Minor,T Nagar,6,9839,168,19839,356,No,No,Busy,No,Miranda,No,153,Already serviced,OFF297,Engine Oil Discount,10-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,4666,2,Yes,Smooth Process,364,-184,0.0,242,38,True
T Nagar,Fleet,Hindi,Maruti,Swift,2018,7,Electric,Manual,65026,Expired,Expired,Minor,T Nagar,5,63645,765,73645,298,Yes,Yes,Denied,No,Mark,No,264,Booked,OFF694,10% OFF Labour,19-07-2025,Yes,No,No,Yes,No,No,No,No,No,5280,5,No,Average,299,-119,0.0,413,-128,True
OMR,Fleet,Hindi,Ford,EcoSport,2016,9,Diesel,Automatic,70012,Expired,Active,Major,OMR,3,67730,642,77730,180,Yes,Yes,No Response,Yes,Carrie,No,221,Call back later,OFF623,Engine Oil Discount,17-08-2025,No,No,No,No,No,No,Yes,No,Yes,13173,4,No,Poor Service,367,-187,33.0,511,35,True
Velachery,Corporate,English,Toyota,Innova,2020,5,Petrol,Automatic,72908,Expired,Expired,Major,Velachery,5,69914,1195,79914,180,Yes,Yes,Positive,No,Jose,Yes,101,Call back later,OFF369,10% OFF Labour,07-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13848,1,Yes,Smooth Process,167,13,0.0,165,-6,False
T Nagar,Fleet,Hindi,Hyundai,Creta,2019,6,Petrol,Automatic,71780,Expired,Expired,Major,T Nagar,8,69044,983,79044,180,Yes,No,No Response,No,Jennifer,No,235,Not interested,OFF561,Free Wash,01-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7567,4,No,Unresponsive,106,74,0.0,105,116,False
T Nagar,Retail,English,Honda,Jazz,2019,6,Diesel,Automatic,100748,Expired,Active,Minor,T Nagar,5,97606,1380,107606,121,No,No,Busy,Yes,Deborah,No,49,Call back later,OFF834,Engine Oil Discount,26-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3871,4,No,Delayed Pickup,117,-144,116.0,87,33,True
Anna Nagar,Fleet,Tamil,Ford,EcoSport,2015,10,Petrol,Automatic,17347,Expired,Expired,Minor,Anna Nagar,2,15480,143,25480,180,No,Yes,Busy,Yes,Karen,No,102,Already serviced,OFF769,10% OFF Labour,01-08-2025,No,No,No,No,No,No,Yes,No,Yes,11955,4,Yes,Poor Service,309,-129,34.0,305,35,True
Velachery,Corporate,Hindi,Hyundai,i20,2018,7,Diesel,Manual,53288,Expired,Active,Major,Velachery,2,50095,627,60095,180,Yes,Yes,No Response,No,Shawn,No,50,Booked,OFF292,Free Wash,11-08-2025,No,No,No,No,No,No,Yes,Yes,Yes,13227,2,Yes,Smooth Process,110,70,0.0,107,55,False
OMR,Retail,Tamil,Honda,City,2022,3,Diesel,Automatic,43557,Active,Expired,Minor,OMR,10,40558,1177,50558,62,Yes,No,No Response,No,Mandy,No,239,Call back later,OFF551,15% OFF AMC,12-08-2025,No,No,No,No,No,No,No,No,No,6032,3,No,Smooth Process,354,1,0.0,262,34,True
Velachery,Fleet,Tamil,Maruti,Swift,2017,8,Diesel,Automatic,44249,Expired,Expired,Major,Velachery,7,40157,456,50157,180,Yes,No,Denied,Yes,Zachary,No,277,Not interested,OFF414,15% OFF AMC,21-07-2025,No,No,No,No,No,No,Yes,Yes,Yes,4201,4,No,Average,163,17,-67.0,159,25,False
Anna Nagar,Corporate,Hindi,Ford,Figo,2021,4,Petrol,Automatic,100824,Expired,Active,Major,Anna Nagar,7,95906,2058,105906,239,No,Yes,Positive,No,Abigail,Yes,133,Already serviced,OFF949,Free Wash,31-07-2025,No,No,No,No,No,No,Yes,Yes,Yes,6927,4,No,Smooth Process,90,90,0.0,29,17,False
Velachery,Corporate,Hindi,Toyota,Yaris,2020,5,Electric,Automatic,90753,Expired,Expired,Major,Velachery,3,89324,1488,99324,210,No,Yes,Denied,Yes,Edward,No,144,Call back later,OFF577,Free Wash,27-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,11738,5,No,Poor Service,57,-170,-67.0,27,-37,True
Velachery,Retail,Tamil,Honda,City,2017,8,Diesel,Automatic,47347,Expired,Active,Minor,Velachery,8,43066,488,53066,180,No,No,Busy,No,Heather,No,79,Not interested,OFF624,Free Wash,12-08-2025,No,No,No,No,No,No,No,No,No,5723,1,Yes,Poor Service,214,-34,0.0,153,206,True
OMR,Retail,Tamil,Hyundai,i10,2017,8,Electric,Automatic,109066,Expired,Expired,Minor,OMR,10,107041,1124,117041,-55,Yes,Yes,Positive,No,Angela,Yes,221,Booked,OFF278,15% OFF AMC,23-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,9541,4,No,Smooth Process,204,6,0.0,84,-67,True
T Nagar,Corporate,English,Toyota,Innova,2018,7,Petrol,Automatic,31298,Expired,Expired,Major,T Nagar,1,27281,368,37281,237,No,No,Busy,Yes,Amanda,No,237,Already serviced,OFF627,15% OFF AMC,08-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7180,2,No,Smooth Process,153,27,19.0,92,-6,False
Anna Nagar,Corporate,Tamil,Maruti,Swift,2017,8,Diesel,Manual,75463,Expired,Expired,Minor,Anna Nagar,5,72331,778,82331,180,Yes,No,Busy,No,Stephen,No,79,Booked,OFF323,Free Wash,27-07-2025,No,No,No,No,No,No,Yes,Yes,No,10816,5,No,Poor Service,68,112,0.0,66,86,False
Velachery,Retail,Hindi,Maruti,Baleno,2017,8,Electric,Manual,83499,Expired,Active,Minor,Velachery,4,80289,861,90289,358,Yes,No,Busy,Yes,Scott,No,210,Not interested,OFF615,Engine Oil Discount,08-08-2025,No,No,No,No,No,No,Yes,No,Yes,6145,4,Yes,Unresponsive,332,-179,206.0,241,34,True
Anna Nagar,Retail,Hindi,Maruti,Swift,2020,5,Petrol,Manual,80571,Expired,Expired,Minor,Anna Nagar,7,77245,1321,87245,386,No,No,Positive,No,Nicole,Yes,41,Not interested,OFF486,Engine Oil Discount,25-07-2025,No,No,No,No,No,No,Yes,Yes,No,10857,3,Yes,Satisfied,333,-210,0.0,303,36,True
Anna Nagar,Fleet,Tamil,Honda,Amaze,2022,3,Electric,Manual,54543,Active,Active,Major,Anna Nagar,7,52637,1474,62637,180,Yes,Yes,Positive,No,Eric,Yes,96,Booked,OFF839,10% OFF Labour,14-08-2025,No,No,No,No,No,No,Yes,Yes,Yes,7132,1,No,Unresponsive,139,100,0.0,138,-6,False
Anna Nagar,Fleet,Hindi,Honda,City,2018,7,Diesel,Automatic,25570,Expired,Expired,Major,Anna Nagar,3,23240,301,33240,180,No,No,Busy,Yes,Catherine,No,40,Call back later,OFF259,15% OFF AMC,05-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,11399,3,No,Average,370,-190,86.0,369,116,True
Anna Nagar,Fleet,Hindi,Honda,Jazz,2021,4,Electric,Automatic,33332,Expired,Active,Major,Anna Nagar,6,29349,680,39349,180,No,Yes,Busy,No,Kenneth,No,221,Call back later,OFF865,10% OFF Labour,28-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,10156,4,No,Unresponsive,215,-35,0.0,214,43,True
Anna Nagar,Fleet,Hindi,Ford,Figo,2022,3,Diesel,Manual,103880,Active,Active,Major,Anna Nagar,8,101803,2808,111803,32,Yes,Yes,No Response,Yes,Adam,No,70,Call back later,OFF844,10% OFF Labour,19-07-2025,No,No,No,No,No,No,Yes,No,No,8610,4,No,Average,114,-52,147.0,53,32,True
Velachery,Retail,Tamil,Ford,EcoSport,2022,3,Petrol,Automatic,55607,Active,Expired,Major,Velachery,2,51094,1503,61094,180,Yes,No,Denied,No,David,No,177,Already serviced,OFF933,10% OFF Labour,14-08-2025,No,No,No,No,No,No,Yes,No,Yes,9691,4,Yes,Smooth Process,311,-131,0.0,308,34,True
Anna Nagar,Retail,Hindi,Honda,Jazz,2019,6,Petrol,Manual,28289,Expired,Active,Minor,Anna Nagar,1,27167,388,37167,445,Yes,Yes,Busy,Yes,Jason,No,131,Already serviced,OFF325,Engine Oil Discount,04-08-2025,No,No,No,No,No,No,Yes,Yes,No,13154,1,No,Satisfied,272,-208,206.0,242,36,True
OMR,Corporate,Hindi,Maruti,Dzire,2018,7,Electric,Manual,40266,Expired,Active,Major,OMR,8,38717,474,48717,180,No,No,Busy,No,John,No,281,Already serviced,OFF240,Free Wash,24-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,7893,3,No,Delayed Pickup,326,2,0.0,265,86,True
Velachery,Fleet,Hindi,Toyota,Yaris,2022,3,Diesel,Manual,20835,Active,Active,Minor,Velachery,1,18710,563,28710,180,Yes,No,Busy,No,Ryan,No,283,Booked,OFF686,10% OFF Labour,27-07-2025,No,No,No,No,No,No,No,No,No,7183,3,Yes,Smooth Process,106,74,0.0,105,42,False
T Nagar,Fleet,Hindi,Toyota,Etios,2019,6,Electric,Manual,51984,Expired,Active,Minor,T Nagar,9,48800,712,58800,180,Yes,Yes,Busy,Yes,Sarah,No,247,Booked,OFF310,Engine Oil Discount,22-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,9544,3,Yes,Satisfied,125,55,13.0,178,-128,False
OMR,Retail,Tamil,Ford,Aspire,2021,4,Diesel,Automatic,111327,Expired,Active,Major,OMR,5,106415,2272,116415,180,Yes,No,Denied,No,Anthony,No,275,Call back later,OFF306,15% OFF AMC,05-08-2025,No,No,No,No,No,No,Yes,No,Yes,4776,3,Yes,Delayed Pickup,221,-41,0.0,219,38,True
Anna Nagar,Fleet,English,Maruti,Dzire,2016,9,Diesel,Automatic,59992,Expired,Expired,Minor,Anna Nagar,3,56807,550,66807,91,Yes,Yes,Denied,No,Zachary,No,103,Not interested,OFF793,15% OFF AMC,02-08-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,5797,4,No,Smooth Process,148,-173,0.0,56,43,True
Anna Nagar,Corporate,Tamil,Honda,Jazz,2022,3,Diesel,Manual,34586,Active,Expired,Major,Anna Nagar,1,32753,935,42753,180,No,Yes,No Response,No,Thomas,No,278,Booked,OFF129,Free Wash,15-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,9189,4,No,Smooth Process,337,-157,0.0,570,32,True
Anna Nagar,Corporate,Hindi,Toyota,Innova,2015,10,Petrol,Automatic,27555,Expired,Expired,Major,Anna Nagar,6,26370,228,36370,62,No,Yes,Busy,No,Carlos,No,177,Booked,OFF495,Engine Oil Discount,26-07-2025,No,No,No,No,No,No,Yes,No,No,5773,5,No,Delayed Pickup,52,-20,0.0,-70,32,True
T Nagar,Fleet,Hindi,Maruti,Baleno,2017,8,Electric,Manual,23113,Expired,Expired,Minor,T Nagar,6,20123,238,30123,180,No,No,No Response,Yes,Alice,No,216,Not interested,OFF538,Free Wash,03-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6844,1,Yes,Average,358,-121,-6.0,327,147,True
Anna Nagar,Corporate,English,Hyundai,Creta,2017,8,Electric,Manual,105317,Expired,Expired,Minor,Anna Nagar,5,100913,1086,110913,268,Yes,No,Denied,Yes,Brandi,No,185,Call back later,OFF358,Free Wash,31-07-2025,No,No,No,No,No,No,No,No,No,6056,4,No,Satisfied,235,-26,33.0,319,39,True
Velachery,Fleet,Hindi,Hyundai,i20,2022,3,Electric,Automatic,100075,Active,Active,Minor,Velachery,5,96997,2705,106997,180,Yes,No,Positive,No,Alan,Yes,163,Not interested,OFF521,Engine Oil Discount,21-07-2025,No,No,No,No,No,No,No,No,No,13172,4,Yes,Poor Service,346,-166,0.0,345,42,True
Anna Nagar,Fleet,Tamil,Toyota,Etios,2015,10,Petrol,Automatic,102544,Expired,Active,Major,Anna Nagar,3,100265,847,110265,180,No,No,Positive,No,Samantha,Yes,270,Already serviced,OFF675,Free Wash,29-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,9035,4,Yes,Average,187,-7,0.0,186,33,True
OMR,Fleet,Tamil,Maruti,Dzire,2021,4,Electric,Automatic,106198,Expired,Expired,Minor,OMR,10,102017,2167,112017,180,No,Yes,No Response,Yes,Susan,No,233,Not interested,OFF106,Free Wash,29-07-2025,No,No,No,No,No,No,Yes,No,Yes,11157,4,Yes,Smooth Process,128,52,25.0,127,206,False
Velachery,Retail,English,Honda,Amaze,2018,7,Electric,Manual,85083,Expired,Expired,Minor,Velachery,7,81720,1001,91720,180,Yes,No,Positive,Yes,Christopher,Yes,228,Already serviced,OFF427,15% OFF AMC,25-07-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,4821,5,No,Average,369,-189,16.0,571,-37,True
Velachery,Corporate,Tamil,Hyundai,i10,2020,5,Diesel,Automatic,19351,Expired,Active,Minor,Velachery,4,17067,317,27067,180,No,No,No Response,No,Amber,No,168,Already serviced,OFF899,15% OFF AMC,21-07-2025,No,No,No,No,No,No,No,No,No,12390,4,No,Unresponsive,141,39,0.0,140,86,False
