location,customer_type,preferred_language,make,model,year_of_purchase,age_of_vehicle,fuel_type,transmission,odometer_reading,warranty_status,insurance_status,last_service_type,service_center,number_of_services,last_service_kms,avg_kms_per_month,next_service_due_kms,next_service_due_days,AMC_status,pending_service,response,follow_up_required,telecaller_name,service_booked,call_duration_sec,remark,eligible_offer_code,offer_description,offer_valid_till,sent_sms,sms_delivered,sms_clicked,sent_Whats,Whats_delivered,Whats_clicked,sent_email,clicked_email,email_opened,last_service_cost,feedback_score,pickup_drop_required,customer_feedback,days_since_last_service,days_until_next_service,days_since_follow_up,days_since_feedback,days_since_last_call,alert_due,feedback_sentiment,service_urgent,predicted_urgency,customer_segment,personalized_message,preferred_channels
Anna Nagar,Fleet,Tamil,Ford,Figo,2016,9,Petrol,Automatic,62187,Expired,Expired,Major,Anna Nagar,10,60885,571,70885,180,Yes,No,Positive,No,Christina,Yes,268,Not interested,OFF231,Free Wash,19-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,5942,5,No,Poor Service,365,-185,0.0,538,-39,True,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Corporate,Hindi,Toyota,Innova,2015,10,Petrol,Automatic,27555,Expired,Expired,Major,Anna Nagar,6,26370,228,36370,62,No,Yes,Busy,No,Carlos,No,177,Booked,OFF495,Engine Oil Discount,26-07-2025,No,No,No,No,No,No,Yes,No,No,11983,5,No,Smooth Process,50,-18,0.0,-42,30,True,0.4,1,1,Medium Priority,"Dear Corporate Customer,

Keep your vehicle in optimal condition with your upcoming service.
Service is due in 62 days.

Best regards,
AutoMoto AI Service Team","['Email', 'SMS']"
Velachery,Retail,Tamil,Honda,City,2018,7,Petrol,Manual,85407,Expired,Active,Minor,Velachery,9,80600,1005,90600,32,No,Yes,Denied,Yes,Stephanie,No,284,Booked,OFF515,10% OFF Labour,20-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9025,5,Yes,Smooth Process,81,-49,15.0,20,-100,True,0.4,1,1,High Priority,"Dear Retail Customer,

Your vehicle needs servicing soon. Please book promptly for preferred slots.
Service is due in 32 days.

Best regards,
AutoMoto AI Service Team","['WhatsApp', 'Email']"
Velachery,Corporate,English,Honda,Jazz,2018,7,Petrol,Manual,25097,Expired,Active,Minor,Velachery,4,23828,295,33828,180,Yes,No,Busy,No,Frank,No,230,Already serviced,OFF203,Free Wash,22-07-2025,No,No,No,No,No,No,No,No,No,7511,2,Yes,Poor Service,195,-15,0.0,194,17,True,-0.4,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Corporate,Hindi,Honda,City,2019,6,Electric,Manual,95799,Expired,Expired,Major,Velachery,1,91455,1312,101455,180,Yes,No,No Response,No,Kyle,No,216,Already serviced,OFF216,10% OFF Labour,31-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,5683,3,Yes,Unresponsive,123,57,0.0,122,23,False,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Retail,English,Hyundai,i10,2017,8,Diesel,Manual,101242,Expired,Expired,Major,OMR,2,97528,1044,107528,180,Yes,No,Busy,Yes,Albert,No,217,Call back later,OFF180,Free Wash,24-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,11390,3,No,Delayed Pickup,215,-35,-69.0,211,-8,True,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Fleet,Tamil,Ford,Figo,2016,9,Petrol,Manual,77681,Expired,Active,Major,Velachery,8,74722,713,84722,91,Yes,No,Busy,No,George,No,174,Call back later,OFF186,Engine Oil Discount,19-07-2025,No,No,No,No,No,No,Yes,No,Yes,3952,1,No,Average,51,-48,0.0,-41,34,True,-0.15,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 91 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Retail,English,Honda,Amaze,2016,9,Diesel,Manual,119491,Expired,Active,Minor,OMR,8,116054,1096,126054,-143,Yes,Yes,Busy,No,Shawn,No,202,Already serviced,OFF432,10% OFF Labour,01-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7242,4,No,Unresponsive,199,100,0.0,168,-130,False,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in -143 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Corporate,English,Toyota,Yaris,2016,9,Diesel,Manual,24435,Expired,Active,Minor,Velachery,6,23123,224,33123,180,No,Yes,No Response,Yes,Michelle,No,107,Call back later,OFF538,15% OFF AMC,22-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,13553,4,Yes,Poor Service,60,120,145.0,146,173,False,-0.4,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Fleet,English,Toyota,Yaris,2018,7,Diesel,Manual,85965,Expired,Active,Major,Velachery,2,83161,1011,93161,180,Yes,No,No Response,No,Martin,No,283,Call back later,OFF332,Free Wash,23-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,4435,3,Yes,Delayed Pickup,185,-5,0.0,182,36,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Fleet,Hindi,Maruti,Baleno,2020,5,Diesel,Manual,49378,Expired,Expired,Minor,Anna Nagar,6,47651,809,57651,180,No,No,No Response,No,Christopher,No,154,Not interested,OFF485,15% OFF AMC,02-08-2025,No,No,No,No,No,No,No,No,No,11208,4,No,Delayed Pickup,46,105,0.0,43,36,False,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Fleet,Tamil,Ford,Figo,2019,6,Petrol,Manual,22116,Expired,Expired,Major,Velachery,3,20303,303,30303,180,No,No,Denied,No,Thomas,No,112,Already serviced,OFF463,Engine Oil Discount,30-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3539,1,No,Poor Service,94,86,0.0,91,-8,False,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Corporate,Hindi,Toyota,Innova,2016,9,Petrol,Manual,78287,Expired,Active,Major,T Nagar,2,75762,718,85762,180,Yes,Yes,Busy,No,Scott,No,262,Booked,OFF121,Engine Oil Discount,20-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,14918,1,No,Satisfied,252,-72,0.0,249,31,True,0.5,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Fleet,Tamil,Hyundai,Creta,2017,8,Petrol,Automatic,72694,Expired,Active,Major,Anna Nagar,3,69822,749,79822,-143,Yes,No,No Response,Yes,Paula,No,137,Already serviced,OFF694,10% OFF Labour,10-08-2025,No,No,No,No,No,No,No,No,No,11619,3,No,Unresponsive,199,100,14.0,79,15,False,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in -143 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Fleet,English,Maruti,Dzire,2016,9,Diesel,Automatic,59992,Expired,Expired,Minor,Anna Nagar,3,56807,550,66807,91,Yes,Yes,Denied,No,Zachary,No,103,Not interested,OFF793,15% OFF AMC,02-08-2025,Yes,No,No,Yes,No,No,Yes,No,Yes,10289,4,No,Smooth Process,146,-171,0.0,85,41,True,0.4,1,1,Medium Priority,"Dear Fleet Customer,

Keep your vehicle in optimal condition with your upcoming service.
Service is due in 91 days.

Best regards,
AutoMoto AI Service Team","['Email', 'SMS']"
T Nagar,Corporate,Tamil,Maruti,Swift,2017,8,Petrol,Manual,14202,Expired,Expired,Minor,T Nagar,4,12918,146,22918,180,No,No,Busy,Yes,Kim,No,298,Booked,OFF565,10% OFF Labour,17-08-2025,No,No,No,No,No,No,Yes,No,Yes,3619,3,Yes,Unresponsive,214,-34,12.0,211,15,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Corporate,English,Honda,City,2016,9,Electric,Manual,104897,Expired,Active,Minor,Anna Nagar,9,103456,962,113456,180,No,No,Busy,Yes,Timothy,No,232,Already serviced,OFF223,Free Wash,23-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,12248,3,Yes,Poor Service,274,-94,23.0,566,173,True,-0.4,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Fleet,Tamil,Ford,Figo,2016,9,Diesel,Manual,110023,Expired,Active,Major,Anna Nagar,9,108420,1009,118420,180,No,Yes,Busy,No,Brandon,No,208,Booked,OFF524,10% OFF Labour,25-07-2025,No,No,No,No,No,No,No,No,No,9360,4,Yes,Delayed Pickup,183,-3,0.0,180,40,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Retail,English,Hyundai,i20,2016,9,Electric,Manual,43901,Expired,Expired,Major,Anna Nagar,7,41128,403,51128,416,No,Yes,Denied,Yes,Jacqueline,No,33,Booked,OFF874,10% OFF Labour,08-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,8974,1,No,Average,238,-174,14.0,471,-100,True,-0.15,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 416 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Retail,Tamil,Honda,Amaze,2022,3,Diesel,Manual,109659,Active,Expired,Minor,Velachery,10,108017,2964,118017,180,Yes,Yes,Positive,No,Brent,Yes,297,Already serviced,OFF982,Free Wash,19-07-2025,No,No,No,No,No,No,No,No,No,14781,1,Yes,Satisfied,54,-140,0.0,-38,-8,True,0.5,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Fleet,English,Ford,Figo,2021,4,Petrol,Manual,51614,Expired,Active,Minor,T Nagar,6,47176,1053,57176,180,Yes,Yes,No Response,No,Courtney,No,240,Not interested,OFF553,15% OFF AMC,19-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,11009,3,No,Unresponsive,306,-126,0.0,303,53,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Corporate,Hindi,Maruti,Swift,2021,4,Electric,Manual,96122,Expired,Active,Major,OMR,2,91196,1962,101196,62,Yes,No,Positive,Yes,John,Yes,271,Already serviced,OFF424,15% OFF AMC,25-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,13105,1,No,Delayed Pickup,352,3,-69.0,291,84,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 62 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Corporate,Hindi,Hyundai,i10,2018,7,Electric,Automatic,24541,Expired,Expired,Major,T Nagar,9,22748,289,32748,180,Yes,Yes,Busy,Yes,Eric,No,162,Call back later,OFF635,15% OFF AMC,30-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13818,1,No,Delayed Pickup,44,120,-69.0,42,-8,False,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Corporate,English,Maruti,Baleno,2017,8,Petrol,Manual,13744,Expired,Active,Major,Velachery,8,10831,142,20831,-27,No,No,Busy,Yes,Cassandra,No,263,Already serviced,OFF636,15% OFF AMC,25-07-2025,No,No,No,No,No,No,No,No,No,8282,1,No,Poor Service,79,12,-69.0,48,84,False,-0.4,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in -27 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Retail,Tamil,Hyundai,i20,2017,8,Electric,Automatic,80381,Expired,Expired,Major,Anna Nagar,1,75961,829,85961,180,No,No,Positive,Yes,Meghan,Yes,199,Not interested,OFF167,Free Wash,14-08-2025,No,No,No,No,No,No,Yes,No,Yes,9786,2,No,Poor Service,139,41,11.0,138,16,False,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Corporate,English,Toyota,Yaris,2022,3,Diesel,Manual,91345,Active,Active,Minor,OMR,3,86851,2469,96851,416,Yes,No,Denied,Yes,Ian,No,234,Booked,OFF328,Engine Oil Discount,23-07-2025,No,No,No,No,No,No,Yes,No,Yes,5956,3,No,Poor Service,332,-152,32.0,241,37,True,-0.4,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 416 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Corporate,Hindi,Maruti,Swift,2015,10,Electric,Automatic,102390,Expired,Expired,Minor,Anna Nagar,2,100809,846,110809,2,No,No,Positive,Yes,Megan,Yes,271,Booked,OFF800,15% OFF AMC,07-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,4194,3,Yes,Satisfied,80,-19,84.0,49,145,True,0.5,1,1,High Priority,"Dear Corporate Customer,

Your vehicle needs servicing soon. Please book promptly for preferred slots.
Service is due in 2 days.

Best regards,
AutoMoto AI Service Team","['WhatsApp', 'Email']"
Anna Nagar,Corporate,Hindi,Toyota,Etios,2017,8,Petrol,Manual,112041,Expired,Expired,Major,Anna Nagar,10,110909,1155,120909,180,Yes,No,No Response,No,Laurie,No,257,Booked,OFF687,Free Wash,29-07-2025,No,No,No,No,No,No,No,No,No,9931,4,Yes,Delayed Pickup,195,-15,0.0,193,15,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Corporate,Hindi,Honda,City,2018,7,Electric,Automatic,83490,Expired,Active,Minor,T Nagar,9,81242,982,91242,-143,No,No,Denied,Yes,George,No,207,Not interested,OFF463,15% OFF AMC,04-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,5434,4,No,Unresponsive,199,100,-69.0,79,-39,False,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in -143 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Fleet,Tamil,Maruti,Dzire,2016,9,Electric,Automatic,58147,Expired,Expired,Major,Anna Nagar,2,55247,533,65247,180,No,No,Busy,Yes,Tim,No,264,Booked,OFF677,Engine Oil Discount,15-08-2025,Yes,No,No,Yes,No,No,No,No,No,9628,1,No,Poor Service,139,41,34.0,138,37,False,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Retail,English,Maruti,Baleno,2016,9,Petrol,Automatic,74454,Expired,Active,Minor,T Nagar,3,70132,683,80132,180,No,Yes,Busy,Yes,Bradley,No,243,Call back later,OFF894,Engine Oil Discount,10-08-2025,No,No,No,No,No,No,No,No,No,5339,5,No,Unresponsive,45,120,17.0,42,-8,False,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Fleet,Hindi,Maruti,Swift,2021,4,Petrol,Manual,67104,Expired,Expired,Minor,Anna Nagar,5,63050,1369,73050,34,No,Yes,No Response,Yes,Audrey,No,291,Booked,OFF643,Free Wash,13-08-2025,No,No,No,No,No,No,No,No,No,3409,4,No,Average,205,-84,37.0,174,38,True,-0.15,1,1,High Priority,"Dear Fleet Customer,

Your vehicle needs servicing soon. Please book promptly for preferred slots.
Service is due in 34 days.

Best regards,
AutoMoto AI Service Team","['WhatsApp', 'Email']"
Anna Nagar,Retail,Hindi,Ford,Aspire,2022,3,Diesel,Automatic,82100,Active,Expired,Major,Anna Nagar,7,77717,2219,87717,180,No,Yes,Busy,No,Denise,No,160,Not interested,OFF563,Engine Oil Discount,19-07-2025,No,No,No,No,No,No,Yes,Yes,Yes,14331,4,No,Unresponsive,184,-4,0.0,180,34,True,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Retail,Tamil,Ford,EcoSport,2019,6,Electric,Automatic,89621,Expired,Active,Minor,T Nagar,6,84745,1228,94745,180,No,Yes,No Response,No,Ashley,No,274,Call back later,OFF365,10% OFF Labour,19-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,10806,2,Yes,Poor Service,64,116,0.0,62,15,False,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Retail,English,Maruti,Swift,2018,7,Petrol,Manual,45073,Expired,Expired,Major,T Nagar,2,42646,530,52646,2,No,No,Denied,No,Karen,No,292,Already serviced,OFF297,15% OFF AMC,01-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,12914,3,No,Poor Service,80,-19,0.0,-12,40,True,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 2 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Retail,Tamil,Ford,Figo,2017,8,Electric,Manual,61520,Expired,Expired,Major,Anna Nagar,1,59788,634,69788,180,No,Yes,Denied,Yes,Justin,No,195,Call back later,OFF835,10% OFF Labour,27-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,12401,2,No,Delayed Pickup,101,79,13.0,97,16,False,0.0,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Corporate,English,Hyundai,Creta,2019,6,Diesel,Manual,21406,Expired,Expired,Major,Velachery,5,18278,293,28278,180,No,Yes,Denied,Yes,Elijah,No,106,Call back later,OFF680,10% OFF Labour,15-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14488,3,No,Poor Service,108,72,9.0,106,13,False,-0.4,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Fleet,English,Ford,Figo,2017,8,Electric,Automatic,108475,Expired,Expired,Major,Anna Nagar,3,106157,1118,116157,180,No,No,Denied,No,Billy,No,167,Already serviced,OFF753,10% OFF Labour,06-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9777,5,Yes,Unresponsive,135,45,0.0,131,-39,False,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Fleet,Tamil,Hyundai,Creta,2016,9,Diesel,Manual,22178,Expired,Expired,Minor,Anna Nagar,5,18375,203,28375,387,No,No,Busy,Yes,Megan,No,162,Not interested,OFF501,Free Wash,07-08-2025,No,No,No,No,No,No,No,No,No,12819,4,Yes,Delayed Pickup,300,-207,11.0,503,13,True,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 387 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Corporate,English,Maruti,Dzire,2018,7,Petrol,Manual,50812,Expired,Expired,Major,OMR,3,49694,598,59694,358,No,Yes,Positive,No,Caroline,Yes,57,Booked,OFF536,Engine Oil Discount,03-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,12708,4,No,Delayed Pickup,267,-116,0.0,237,-100,True,0.0,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 358 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Corporate,Tamil,Honda,Amaze,2018,7,Petrol,Automatic,56482,Expired,Active,Major,Anna Nagar,7,51522,664,61522,32,Yes,No,No Response,No,Kimberly,No,118,Already serviced,OFF795,15% OFF AMC,14-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,10956,4,Yes,Poor Service,144,-112,0.0,22,40,True,-0.4,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 32 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Anna Nagar,Corporate,English,Ford,Figo,2017,8,Diesel,Automatic,104690,Expired,Active,Minor,Anna Nagar,10,100878,1079,110878,180,No,Yes,Positive,Yes,Mercedes,Yes,93,Already serviced,OFF459,Engine Oil Discount,29-07-2025,No,No,No,No,No,No,Yes,No,Yes,12576,3,No,Poor Service,75,120,204.0,73,31,False,-0.4,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Fleet,Hindi,Toyota,Yaris,2017,8,Petrol,Manual,103853,Expired,Expired,Minor,Velachery,4,102674,1071,112674,180,Yes,Yes,No Response,No,Craig,No,293,Already serviced,OFF934,Engine Oil Discount,25-07-2025,No,No,No,No,No,No,Yes,Yes,No,4886,4,Yes,Poor Service,249,-69,0.0,246,-100,True,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Fleet,Hindi,Honda,City,2015,10,Electric,Manual,48655,Expired,Expired,Major,OMR,10,44575,402,54575,180,No,Yes,Positive,No,Michelle,Yes,226,Already serviced,OFF914,Engine Oil Discount,26-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,12745,5,No,Unresponsive,71,109,0.0,67,41,False,0.0,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Retail,Tamil,Maruti,Baleno,2022,3,Electric,Manual,101388,Active,Active,Major,OMR,1,100006,2740,110006,2,No,No,Denied,No,Rodney,No,58,Booked,OFF819,Free Wash,07-08-2025,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,4518,3,No,Poor Service,80,-19,0.0,49,-39,True,-0.4,1,1,Critical,"Dear Retail Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 2 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
T Nagar,Fleet,Hindi,Honda,Jazz,2018,7,Diesel,Manual,65723,Expired,Active,Minor,T Nagar,5,61338,773,71338,-57,Yes,Yes,Positive,Yes,Christine,Yes,187,Not interested,OFF549,10% OFF Labour,30-07-2025,No,No,No,No,No,No,No,No,No,4021,2,No,Smooth Process,141,-21,16.0,110,23,True,0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in -57 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
Velachery,Fleet,Hindi,Ford,Figo,2015,10,Electric,Automatic,81233,Expired,Expired,Minor,Velachery,7,79319,671,89319,180,No,Yes,Denied,Yes,Melvin,No,216,Booked,OFF778,Free Wash,20-07-2025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,4456,3,Yes,Poor Service,304,-124,-8.0,536,114,True,-0.4,1,1,Critical,"Dear Fleet Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
OMR,Corporate,Hindi,Maruti,Baleno,2019,6,Electric,Manual,114802,Expired,Expired,Major,OMR,8,110115,1573,120115,180,Yes,Yes,Positive,No,Madison,Yes,42,Already serviced,OFF732,Free Wash,26-07-2025,No,No,No,No,No,No,No,No,No,3931,4,No,Poor Service,93,87,0.0,175,-39,False,-0.4,1,1,Critical,"Dear Corporate Customer,

We sincerely apologize for any inconvenience. Your next service will be prioritized with a 15% discount.
Service is due in 180 days.

Best regards,
AutoMoto AI Service Team","['Phone', 'WhatsApp', 'Email']"
