location,customer_type,make,model,year_of_purchase,next_service_due_days,customer_feedback,feedback_score,reminder_message,channels,telecaller_name
Anna Nagar,Corporate,Maruti,Dzire,2018,34,Smooth Process,2,"Dear Corporate Customer,

Our records indicate your Maruti Dzire (purchased in 2018) needs service soon. Recommended service in 34 days.

We noticed your previous feedback and want to ensure a better experience this time.

Special offer: 10% OFF Labour (Code: OFF412).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Shelly
Anna Nagar,Corporate,Honda,Amaze,2018,32,Poor Service,2,"Dear Corporate Customer,

Our records indicate your Honda Amaze (purchased in 2018) needs service soon. Recommended service in 32 days.

We noticed your previous feedback and want to ensure a better experience this time.

Special offer: 15% OFF AMC (Code: OFF795).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Kimberly
Anna Nagar,Corporate,Hyundai,i20,2019,3,Delayed Pickup,4,"Dear Corporate Customer,

Our records indicate your Hyundai i20 (purchased in 2019) needs service urgently. Recommended service in 3 days.

Special offer: Free Wash (Code: OFF265).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Ryan
OMR,Fleet,Honda,City,2020,32,Unresponsive,3,"Dear Fleet Customer,

Our records indicate your Honda City (purchased in 2020) needs service soon. Recommended service in 32 days.

Special offer: Engine Oil Discount (Code: OFF486).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team","['Email', 'SMS']",John
Anna Nagar,Corporate,Honda,Amaze,2019,32,Average,5,"Dear Corporate Customer,

Our records indicate your Honda Amaze (purchased in 2019) needs service soon. Recommended service in 32 days.

Special offer: Engine Oil Discount (Code: OFF106).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Christopher
Velachery,Retail,Ford,Figo,2021,-54,Satisfied,2,"Dear Retail Customer,

Our records indicate your Ford Figo (purchased in 2021) needs service urgently. Recommended service in -54 days.

We noticed your previous feedback and want to ensure a better experience this time.

Special offer: 10% OFF Labour (Code: OFF207).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Michelle
OMR,Fleet,Ford,EcoSport,2017,64,Satisfied,4,"Dear Fleet Customer,

Our records indicate your Ford EcoSport (purchased in 2017) needs service soon. Recommended service in 64 days.

Special offer: 15% OFF AMC (Code: OFF435).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],John
Velachery,Corporate,Hyundai,Creta,2021,61,Smooth Process,1,"Dear Corporate Customer,

Our records indicate your Hyundai Creta (purchased in 2021) needs service soon. Recommended service in 61 days.

We noticed your previous feedback and want to ensure a better experience this time.

Special offer: Free Wash (Code: OFF545).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team","['Email', 'SMS']",Katie
Anna Nagar,Corporate,Toyota,Etios,2015,-57,Delayed Pickup,2,"Dear Corporate Customer,

Our records indicate your Toyota Etios (purchased in 2015) needs service urgently. Recommended service in -57 days.

We noticed your previous feedback and want to ensure a better experience this time.

Special offer: 15% OFF AMC (Code: OFF582).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Shane
OMR,Corporate,Ford,EcoSport,2016,-113,Average,4,"Dear Corporate Customer,

Our records indicate your Ford EcoSport (purchased in 2016) needs service urgently. Recommended service in -113 days.

Special offer: Free Wash (Code: OFF944).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Linda
OMR,Fleet,Toyota,Yaris,2016,5,Poor Service,3,"Dear Fleet Customer,

Our records indicate your Toyota Yaris (purchased in 2016) needs service urgently. Recommended service in 5 days.

Special offer: 10% OFF Labour (Code: OFF779).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Julia
T Nagar,Retail,Maruti,Baleno,2015,-27,Unresponsive,3,"Dear Retail Customer,

Our records indicate your Maruti Baleno (purchased in 2015) needs service urgently. Recommended service in -27 days.

Special offer: Engine Oil Discount (Code: OFF500).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Donald
OMR,Fleet,Hyundai,Creta,2016,91,Poor Service,2,"Dear Fleet Customer,

Our records indicate your Hyundai Creta (purchased in 2016) needs service soon. Recommended service in 91 days.

We noticed your previous feedback and want to ensure a better experience this time.

Special offer: Free Wash (Code: OFF577).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Brian
OMR,Retail,Honda,City,2022,5,Poor Service,4,"Dear Retail Customer,

Our records indicate your Honda City (purchased in 2022) needs service urgently. Recommended service in 5 days.

Special offer: Engine Oil Discount (Code: OFF799).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team","['SMS', 'WhatsApp']",David
Velachery,Fleet,Maruti,Dzire,2016,62,Satisfied,3,"Dear Fleet Customer,

Our records indicate your Maruti Dzire (purchased in 2016) needs service soon. Recommended service in 62 days.

Special offer: Engine Oil Discount (Code: OFF960).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Perry
Anna Nagar,Fleet,Hyundai,Creta,2017,-143,Average,4,"Dear Fleet Customer,

Our records indicate your Hyundai Creta (purchased in 2017) needs service urgently. Recommended service in -143 days.

Special offer: 10% OFF Labour (Code: OFF694).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Paula
Velachery,Retail,Ford,Figo,2021,-54,Unresponsive,3,"Dear Retail Customer,

Our records indicate your Ford Figo (purchased in 2021) needs service urgently. Recommended service in -54 days.

Special offer: 10% OFF Labour (Code: OFF207).

Please contact your service advisor to schedule an appointment.

Best regards,
Your Service Team",['SMS'],Michelle
